A plane's radio reception is on a scale of what to what?,1 to 5,0 to 15,0 to 10,1 to 20,
"Deicing fluid, which is sprayed on planes in icy temperatures is a mix of water and what?",Glycol,Glucagon,Oil,Coaming,
"In the world of aviation, what is the opposite of anhedral?",dihedral,Antihedral,Cohedral,Post-hedral,
The degree of curve in an airfoil is called the?,Camber,Clover,Camel,Cambridge,*
"The paved part of an airport where planes park, fuel, load and unload is called the?",Apron,Scud,Par,Fairing,
The rate at which temperature changes due to increasing and decreasing altitude is called?,Adiabatic lapse rate,Departure Stall,Boundary Layer Control,Calibrated Air Speed,
"Usually, where is the most fuel stored in an airplane?",Wings,Elephant Ears,Decalage,Cowl,
"What does ""Vr"" mean in aviation?",Rotation speed,Collective Pitch,Radial Interceptor,Contrail,
What is the padding surrounding the cockpit called?,Coaming,Combing,Padding,Coasting,*
What is the transition altitude in North America?,"18,000 feet","8,000 feet","28,000 feet","38,000 feet",
What makes the dog barking sound on an airbus aircraft?,PTU,AWE,PAR,WOOF,
What part of an airplane is not controlled by hydraulics?,O2 supply,Flaps,Brakes,Landing Gear,
What was the nickname of the WWII de Havilland Mosquito?,Wooden Wonder,World Wings,Woolen Wake,Woody Whale,*
Which airline is headquartered in Australia?,Jetstar,Aer Lingus,Ryanair,Iberia,
Which airline is headquartered in Brazil?,GOL Linhas Aereas,Pegas Fly,National Airlines,COPA Airlines,
Which airline is headquartered in China?,Hainan Airlines,Asiana Airlines,Qantas,Air Asia,
Which airline is headquartered in China?,Okay Airways,EasyJet,Cargojet Airways,CityJet,*
Which airline is headquartered in France,APG airlines,Westjet,Pegasus Airlines,EasyJet,
Which airline is headquartered in Germany?,Hahn Air,Nordwind Airlines,Air Europa,Azur Air,
Which airline is headquartered in Romania?,Carpatair,Airlink,Air Austral,Albastar,
Which airline is headquartered in Russia?,Pegas Fly,ABX,Aircalin,Cargojet Airways,
Which airline is headquartered in Russia?,Ural Airlines,Air Baltic,Nostrum,Amapola Flyg,
Which airline is headquartered in South Africa?,Airlink,ASKY,Carpatair,Atlantic Airways,
Which airline is headquartered in Sweden?,SAS,Cargojet Airways,Condor,Eurowings,
Which airline is headquartered in the Czech Republic?,Smartwings,EL AL,EVA Air,Cargojet Airways,
Which airline is headquartered in the United States?,Delta Air Lines,Cargojet Airways,EasyJet,Okay Airways,*
Which airline is headquartered in Tunisia?,Nouvelair,EL AL,Evelop Airlines,CityJet,
Which airline is headquartered in Turkey?,Corendon Airlines,KLM,Euroatlantic Airways,GX Airlines,
Which airport (code) is located in Brazil?,BSB,BCN,RDU,BRS,*
Which airport (code) is located in Canada?,YYC,TLS,KHI,PHL,
Which airport (code) is located in Chile?,PMC,MAD,ULN,GLA,
Which airport (code) is located in China?,PKX,SGA,BEI,CHD,*
Which airport (code) is located in Colombia?,CTG,CIW,MDL,LJU,
Which airport (code) is located in Egypt?,SSH,CAL,TLS,NKC,*
Which airport (code) is located in France?,NCE,PAR,CGG,BRD,*
Which airport (code) is located in French Guiana?,CAY,FRU,WDH,NKC,
Which airport (code) is located in Ghana?,ACC,TGD,MGA,TIP,
Which airport (code) is located in Malaysia?,KCH,MAN,NGO,ILO,
Which airport (code) is located in Malaysia?,KUL,MNL,KIX,LHR,
